[MetricOpStats] ParamMass_M  (rows=14264)
  row_sum       min=1.3468e-07  max=0.00594  mean=0.00197907  max/|min|=44104.5
  |row_sum|     min=1.3468e-07  max=0.00594  mean=0.00197907  max/min=44104.5
  diag          min=5.98578e-08  max=0.00264  mean=0.000879586  nonpos=0
  max_abs_entry=0.00264
[MetricOpStats] ParamStiffness_K  (rows=14264)
  row_sum       min=-8.9407e-08  max=8.9407e-08  mean=1.38068e-08  max/|min|=1
  |row_sum|     min=2.37605e+08  max=7.92e+08  mean=5.80481e+08  max/min=3.33326
  diag          min=3.96018e+07  max=1.584e+08  mean=1.05543e+08  nonpos=0
  max_abs_entry=1.584e+08
[MetricOpStats] ParamMass_M_reprint  (rows=14264)
  row_sum       min=1.3468e-07  max=0.00594  mean=0.00197907  max/|min|=44104.5
  |row_sum|     min=1.3468e-07  max=0.00594  mean=0.00197907  max/min=44104.5
  diag          min=5.98578e-08  max=0.00264  mean=0.000879586  nonpos=0
  max_abs_entry=0.00264
[MetricOpStats] K_over_M
  |row_sum| ratio  max=1.33333e+11  mean=2.9331e+11
[RieszAutoScale] mean(diag(K))/mean(diag(M)) = 1.19992e+11
[RieszMap] alpha1=1.19992e+13  alpha2=1  mode=auto_balanced  auto_amplify=100
[MetricOpStats] Hcurl_H  (rows=14264  alpha1=1.19992e+13  alpha2=1  solver=sparse_direct)
  row_sum       min=1.61605e+06  max=7.12752e+10  mean=2.37472e+10  max/|min|=44104.5
  |row_sum|     min=2.38144e+08  max=7.17504e+10  mean=2.42207e+10  max/min=301.29
  diag          min=4.032e+07  max=3.18362e+10  mean=1.06599e+10  nonpos=0
  max_abs_entry=3.18362e+10
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=7.02677e-20 e[2]=0 e[3]=0 e[4]=0 e[5]=1.29424e-20 e[6]=2.57829e-20 e[7]=0 e[8]=0 e[9]=2.64698e-23 e[10]=4.44089e-16 e[11]=8.86409e-19 e[12]=2.97428e-15
MrHyDE vector contract check: max_primal_err=0 max_dual_err=2.97428e-15 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  105   7.217153e-19   1.891535e-08   2.361607e-11   1.000000e+00   220       106       1         0         
  106   7.105841e-19   2.042428e-08   2.196507e-11   1.000000e+00   222       107       1         0         
  107   6.868893e-19   1.171559e-08   4.442771e-12   1.000000e+00   224       108       1         0         
  108   6.673087e-19   1.049466e-08   1.508834e-11   1.000000e+00   226       109       1         0         
  109   6.560107e-19   1.314069e-08   1.854778e-11   1.000000e+00   228       110       1         0         
  110   6.436517e-19   1.832177e-08   4.588845e-11   1.000000e+00   230       111       1         0         
  111   6.244979e-19   1.279714e-08   1.606453e-11   1.000000e+00   232       112       1         0         
  112   6.112646e-19   1.141959e-08   5.676112e-12   1.000000e+00   234       113       1         0         
  113   5.956551e-19   1.183189e-08   1.472442e-11   1.000000e+00   236       114       1         0         
  114   5.860925e-19   1.505074e-08   1.541309e-11   4.766590e-01   239       115       2         0         
  115   5.700525e-19   1.154204e-08   2.786438e-11   1.000000e+00   241       116       1         0         
  116   5.551493e-19   1.339716e-08   3.293614e-11   1.000000e+00   243       117       1         0         
  117   5.474194e-19   1.647974e-08   3.693863e-11   1.000000e+00   245       118       1         0         
  118   5.321071e-19   9.446733e-09   3.842999e-12   1.000000e+00   247       119       1         0         
  119   5.196116e-19   8.625445e-09   6.119322e-12   1.000000e+00   249       120       1         0         
  120   5.108090e-19   1.059148e-08   1.209968e-11   1.000000e+00   251       121       1         0         
  121   5.106227e-19   2.263428e-08   3.832120e-11   1.000000e+00   253       122       1         0         
  122   4.889055e-19   9.795080e-09   1.378537e-11   1.000000e+00   255       123       1         0         
  123   4.792851e-19   8.608315e-09   1.015642e-11   1.000000e+00   257       124       1         0         
  124   4.696503e-19   1.004423e-08   1.732519e-11   1.000000e+00   259       125       1         0         
  125   4.630581e-19   1.276951e-08   1.441135e-11   4.794020e-01   262       126       2         0         
  126   4.518883e-19   9.399045e-09   2.132663e-11   1.000000e+00   264       127       1         0         
  127   4.419130e-19   1.178321e-08   2.163396e-11   1.000000e+00   266       128       1         0         
  128   4.317271e-19   1.029434e-08   2.228131e-11   1.000000e+00   268       129       1         0         
  129   4.234452e-19   7.757911e-09   4.120606e-12   1.000000e+00   270       130       1         0         
  130   4.137278e-19   9.086312e-09   9.643725e-12   1.000000e+00   272       131       1         0         
  131   4.079663e-19   1.264060e-08   1.492821e-11   1.000000e+00   274       132       1         0         
  132   3.992200e-19   8.560270e-09   1.034043e-11   1.000000e+00   276       133       1         0         
  133   3.891375e-19   7.583470e-09   2.452818e-11   1.000000e+00   278       134       1         0         
  134   3.841548e-19   1.042544e-08   1.352218e-11   1.000000e+00   280       135       1         0         
  135   3.764403e-19   8.977670e-09   1.112497e-11   1.000000e+00   282       136       1         0         
  136   3.743786e-19   1.863975e-08   2.958732e-11   1.000000e+00   284       137       1         0         
  137   3.610027e-19   8.747781e-09   7.089731e-12   1.000000e+00   286       138       1         0         
